Account Number (Fishbowl),Customer Name,Address,City,State,Zip,Current Account Type,Assigned Sales Rep,Action Needed
"813","Discount Cigarettes","1229 MANGROVE AVE","Chico","California","95926","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"238","Discount Cigarettes | Eureka","2710 Broadway St","Eureka","California","95501","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1498","Discount Smoke and Vape | HI","ATTN: Sam
379 Kamehameha HWY","Pearl City","Hawaii","96782","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1849","Discount Vape and More","3220 Leechburg Road #237","Lower Burrell","Pennsylvania","15068","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1674","Discount Wholesale | OR","ATTN: Jimmie
285 Industrial Dr","Roseburg","Oregon","97471","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"726","Discount Wholesale Inc","443 East President St","Tupelo","Mississippi","38801","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1848","DNB Distro","5270 Broadway","Denver","Colorado","80216-1924","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1771","DOMINO CONVENIENCE INC","234 KENT AVE
IN STORE","BROOKLYN","New York","11249-4121","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"603","Donnie Thigpen","2204 LAKE RD","RIDGEWAY","South Carolina","29130-9659","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1787","Douglas Vapor LLC | WY","1650 E Richards St Unit B","Douglas","Wyoming","82633","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Down South Distro","236 space park s","nashville","Tennessee","37211","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1811","DOYLES SHEEHAN","651 W Dalton Ave","Coeur d""Alene","Idaho","83815","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1083","Dr. Smoke | KC","3955 Broadway Blvd","Kansas City","Missouri","64111","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"432","Drapergate coffee and vape","12276 s State","Draper","Utah","84020","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1721","DREAM SMOKE SHOP","1160 ARNOLD DR STE D","MARTINEZ","California","94553-6839","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1233","Dreams LLC","2335 18th St NW","Washington","District of Columbia","20009","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"776","Dreams Smoke Shop","1529 17th St NW","Washington","District of Columbia","20036","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Drew's Tobacco World","ATTN: Julie
1514 SE 44th St, Suite D
d","Oklahoma City","Oklahoma","73129","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Drip Botanical Tea Bar","6166 Gunn Hwy","Tampa","Florida","33625","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Durity Distro","2623 s Fry st, Unit 154","Boise","Idaho","83709","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","E-Smoke & Cigar","312 Main St","Huntington","New York","11743","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1697","E-Smoke & Convenience","2 W 33rd St","New York","New York","10001","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1584","East Coast Vapes","1075 Freedom Rd Ste 101","Cranberry Township","Pennsylvania","16066","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1755","EDDIE'S LIQUOR","2943 SANTA FE AVE","LONG BEACH","California","90810-2948","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1851","Edison Grab N Go | UT","ATTN: Akram
215 S Edsion Street","Salt Lake City","Utah","84111","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1340","Egyptian Vape","139 E Idaho Ave","Meridian","Idaho","83642","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1216","El Paso Leaf","1515 Lee Trevino Dr unit d","El Paso","Texas","79936","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Elevated Alternatives","607 n Orchard","boise","Idaho","83706","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Elite Distributors - ED","1716 Premier Row , Suite A","Orlando","Florida","32809","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"655","Empire Smoke & Vape","2051 E Shaw Ave #101","Fresno","California","93710","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1693","Empire Vapor Vape & Smoke | WY","ATTN: Drew
2027 E Yellowstone Hwy","Casper","Wyoming","82609","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Etown Marketing & Distributing","203 Production Court","Elizabethtown","Kentucky","42701","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1398","Everest Distribution","729 West 1700 South","Salt Lake City","Utah","84104","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"16","Exclusive Distributors","4508 Bibb Blvd
Suite B4","Tucker","Georgia","30084","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"964","Falaq Wholesale","8286 western way circle suite C8","jacksonville","Florida","32256","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1299","Fire Smoke Vape","6330 Forest Hill Blvd","Greenacres","Florida","33415","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"714","First Choice Kratom","2915 Linden Ave A","Dayton","Ohio","45410","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"717","First Choice Kratom - 1","125 W Kemper Rd","Cincinnati","Ohio","45246","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"746","First Stop Tobacco Shop","628 Crown St","Morrisville","Pennsylvania","19067","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"754","Folsom Tobacco","659 e bidwell st","folsom","California","95630","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"695","Foodies Corner 3","8225 hw 71 west","austin","Texas","78735","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1803","Foursquare Distributors","1231 International Dr","Oakdale","Pennsylvania","15071","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1525","Friendly Vape Distro","6000 South Eastern Ave , #1CD","Las Vegas","Nevada","89119","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1751","FUEL WISE","11913 RANCHO ALTO RD
IN STORE","AUSTIN","Texas","78748-3512","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"677","Full House Wholesale","1104 W Maple Rd","Troy","Michigan","48084","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"718","Fumee Smoke & Vape","7831 Cincinnati Dayton Rd","West chester township","Ohio","45069","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1692","Fumeteo Bird Road","8185 Bird Road","Miami","Florida","33155","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"732","G&S Wholesale","1914 Roan st","johnson city","Tennessee","37604","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"944","Galatix distro","5204 fairview","boise","Idaho","83704","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1827","Galaxy Vape & Smoke","89 W 3300 S","Salt Lake City","Utah","84115","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1880","Gann Services","7138 Hwy 69 South","Lufkin","Texas","75901","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"802","Ganued","8720 satyr hill rd","Parkville","Maryland","21234","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1529","GAP Hacienda Inc","1030 S Hacienda Blvd.","Hacienda Heights","California","91745","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1530","Gap Station Inc.","636 W Florida Ave.","Hemet","California","92543","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1820","GARDEN SPOT","224 E PARKER RD
IN STORE","GREENVILLE","South Carolina","29611-3508","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"598","Garrett Claridge","3816 130TH AVE NE","BELLEVUE","Washington","98005-1356","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"500","Gateway Smoke Shop","5936 San Pablo Ave","Oakland","California","94608","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1711","General Smoke Shop LLC | HI","ATTN: Eun
4-1621 Kuhio Hwy, Unit 2","Kapaa","Hawaii","96746","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"405","Giant Distribution","230 Bristol Pike","Bristol","Pennsylvania","19007","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"185","Gifts and Smokes | R3 INC","6015 Pacific Street STE1B","Rocklin","California","95677","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"893","GK industries","3335 n five mile RD","boise","Idaho","83713","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1826","GK Petroleum","540 W Dekalb Pike","King of Prussia","Pennsylvania","19406","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1812","Glenwood One Stop Inc","1105 Pottstown Pike","Glenmoore","Pennsylvania","19343","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1766","GOLD BEACH LIQUOR AND SMOKES","29830 ELLENSBURG AVE
IN STORE","GOLD BEACH","Oregon","97444-7803","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"744","Golden Eagle Distributors","975 Bryn Mawr Ave","Bensenville","Illinois","60106","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1744","GOLDEN RULE LIQUOR","7753 SANTA MONICA BLVD
IN STORE","W HOLLYWOOD","California","90046-6221","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Good Earth Markets","344 W Main St","American Fork","Utah","84003","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1879","Good Health Wellness | UT","ATTN: Cedrick
860 W Riverdale Rd Unit D8","Riverdale","Utah","84405","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"209","Good Vibes","1421 Cleveland Ave","Loveland","Colorado","80538","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Good Vibes Boise","655 N Five Mile Road","Boise","Idaho","83713","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"428","Gotam smoke shop","1155 n Main Street ,suite #6","layton","Utah","84041","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1735","GRAB N GO","3013B MOUNTAIN RD
IN STORE","PASADENA","Maryland","21122-2015","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"687","Grace Charrie","330 Acoma Street
204","Denver","Colorado","80223","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1520","Grand Smoke Shop","176 Grand Street","Brooklyn","New York","11211","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"623","Grant Gibbs","1408 NW 17TH ST","OKLAHOMA CITY","Oklahoma","73106-4206","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"938","Grass Valley","1913 Nevada City hwy","Grass Valley","California","95945","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Grateful Shed | MT","ATTN: Sam
2230 W Main St, Suite B","Bozeman","Montana","59718","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1802","Green Valley Vape and Pipe","4650 Tower Rd Unit 107","Denver","Colorado","80249","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"420","Grow Kratom","79 w 900 s","salt lake","Utah","84101","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"487","Gunner's Smoke Shop","17551 Penn Valley Dr","Penn Valley","California","95946","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1453","Happy Time Liquor","10114 Lauren Way","Santee","California","92071","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"558","havana leaf llc","15577 north Hayden rd #106","scottsdale","Arizona","85260","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1099","Heaven Smoke Shop","3622 Willow Pass Rd","Concord","California","94519","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1501","Heavy Clouds Vape & Smoke","1275 W 7th St","Upland","California","91786","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Hemp Plus","107 8th ave. west suite 6","Williston","North Dakota","58801","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"579","Hempire State Smoke Shop","2340 Lyell Ave","Rochester","New York","14606","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Herbals Finest","6628 W 10th st. #101","Greeley","Colorado","80634","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"490","Herban Trails","2695 Union Rd","Cheektowaga","New York","14227","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"797","Hi-Life Smoke & Vapor","7302 E 6th ave","Scottsdale","Arizona","85251","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1694","Highland Smoke & Cigar","2377 State Route 36","Atlantic Highlands","New Jersey","7716","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1073","HighTide Pipe & Tobacco","1958 Pacific Blvd","Albany","Oregon","97321","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"609","Holly Lazzeri","9459 DESERT WILLOW WAY","HGHLNDS RANCH","Colorado","80129-5744","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"828","Holly Robinson","1724 Cattail Woods Lane","Woodbine","Maryland","21797","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1036","Holy Smokes","407 Main St","Savanna","Illinois","61074","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Holy Smokes Tobacco Outlet","1945 Capitol Tr","Newark","Delaware","19711","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1891","HOOVER DAM MINI MART LIQUOR & SMOKE","1311 BOULDER CITY","BOULDER CITY","Nevada","89005","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"189","Hope Botanicals/Roberto Chavez","6115 Laredo","Las Vegas","Nevada","89146","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Hotbox Smoke Shop | Bellevue","3800 Factoria Blvd SE","Bellevue","Washington","98006","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1657","House of Smokers","1725 Rostraver Rd","Belle Vernon","Pennsylvania","15012","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"80","House Samples","11193 W Emerald St
Suite 140","BOise","Idaho","83713","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"419","HTown Smoke Shop","Attn: Max
722 W 19th St. Suite B","Houston","Texas","77008","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1544","Humble Vape & Smoke Shop","2995 S Whitney Blvd","Rocklin","California","95677","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"198","Hundred Premiums | Blue Magic","2775 W Pebble Road","Las Vegas","Nevada","89123","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"605","Hunter Eidmann","2076 OXFORD ST","TWINSBURG","Ohio","44087-2062","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"756","Hyde Park Market","4429 Duval St","Austin","Texas","78751","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","iCloud Vape and Smoke | Laramie","1660 N 4th St","Laramie","Wyoming","82072","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","iCloud Vape and Smoke 2 | Gilette","ATTN: Eli, 1215 S Douglas Hwy","Gillette","Wyoming","82716","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1796","Ida LA Distro","8856 South Western Ave","Los Angeles","California","90067","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1889","IdaGo","5804 W Franklin Rd","Boise","Idaho","87309","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"990","IK Smoke Shop","730 S Western Ave Unit 105","Los Angeles","California","90005","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1104","Ikra Sunoco","120 E McMurray Rd","Canonsburg","Pennsylvania","15317","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Illusions/Moe","203 G st","Davis","California","95616","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Inderbitzin Distributors","901 Valley Ave NW","Puyallup","Washington","98371","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1718","Iree Smoke Shop | HI","ATTN: Jose
750 Kanoelehua Ave Ste 102","Hilo","Hawaii","96720","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","ISmoke Cigars and Vape LLC","20731 N Scottsdale Road Unit 103","Scottsdale","Arizona","85255","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"703","jaco's beverage drive thru","700 E Cuyahoga Falls Ave","akron","Ohio","44310","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1794","Jay Ambe Distribution","118 China Grove Highway","Rockwell","North Carolina","28138","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1158","Jay Maha Inc","1421 Holmes Rd","Elgin","Illinois","60123","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"616","Jay Saunders","41727 COOLIDGE ST","VAN BUREN TWP","Michigan","48111-1414","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1710","Jay Wholesale","1421 Holmes Rd","Elgin","Illinois","60123","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1573","Jay's Smoke Shop","9 Medway Rd Unit D","Milford","Massachusetts","1757","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"628","Jefferson Allen","3422 GREENWOOD AVE","LOS ANGELES","California","90066-2239","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"137","JNJ distribution","9885 Crescent Park Dr","Wester chester","Ohio","45069","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"597","Joseph Stolar","8505 E CHENANGO AVE","DENVER","Colorado","80237-2912","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"600","Josh Cooper","1611 WEATHERFORD DR","AUSTIN","Texas","78753-2041","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"524","Js One","1100 Garden HWY, STE1700","Yuba City","California","95991","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1537","Jubilee Vape & Smoke Inc","165 Church St","New York","New York","10007","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"765","Juicee Coil Vapes","2442B Hwy 70 SE","Hickory","North Carolina","28062","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1578","Junction Variety","101 W Bucyrus St","Crestline","Ohio","44827","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"594","Justin Otto","35 E 9TH ST APT 309","NEWPORT","Kentucky","41071-7103","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1716","Jvapes Vape & Smoke Shop | CO Springs","ATTN: Macy
3924 N Academy Blvd","Colorado Springs","Colorado","80917","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","K. Roots | A & L WHOLESALE INC.","542 W Factory Road","Addison","Illinois","60101","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1296","Karma Distributors","400 Bristol Pike","Croydon","Pennsylvania","19021","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"544","Kathleen Tucker","240 East 7 Flags Circle","Sonoma","California","95476","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1164","Kava Colorado","4743 N Carefree Cir Suite 1","Colorado Springs","Colorado","80917","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1704","KB Smoke Shop | CO","10115 E Colfax Ave","Aurora","Colorado","80010","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"172","KC Smoke and Vape","1605 Westport Rd","Kansas City","Missouri","64111","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"613","Kelly Kountouriotis","1605 RIDGE RD","HIGHLAND","Michigan","48356-2852","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1757","KEN'S COBBLERY","463 4TH AVE
IN STORE","GUSTINE","California","95322-1145","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"589","Kevin Mcanulla","5200 PALMER MILL RD","CLIFTON HEIGHTS","Pennsylvania","19018-1013","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"883","KMT Distribution","23250 Sherwood Ave","Warren","Michigan","48091","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1618","Kraken Vape LLC","36C South Main Street","Miamisburg","Ohio","45342","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"171","Kratopia","5140 Sunset Blvd. Suite G","Lexington","South Carolina","29072","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"733","KriAA Wholesale","4301 New Brunswick ave Unit B","south plainfeild","New Jersey","7080","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"877","Kwality Korner","3195 S Mount Juliet Rd","Mt. Juliet","Tennessee","37122","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"601","Kyle Schneider","3239 AQUILA LN S
OPTIONAL","ST LOUIS PARK","Minnesota","55426-3708","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"402","Lake Murray Liquor Store","6001 Lake Murray Blvd","La Mesa","California","91942","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"344","Lance Mitton","4426 Sunset Circle","Bountiful","Utah","84010","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"661","Landan Smock","9551 w chadwick dr","boise","Idaho","83704","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1033","Lava Smoke Shop | Gurnee","ATTN: Belal
5572 Grand Ave Ste 4","Gurnee","Illinois","60031","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Lazy Daze Inc","630 E 58th Ave","Denver","Colorado","80216","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"688","Lesesne Distributors","336 Molasses Lane","Mount Pleasant","South Carolina","29464","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1134","Lit City Vape and Smoke Shop","ATTN: Dilli
333 calhoun st","Cincinnati","Ohio","45219","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1816","LITTLE WONDER (SHELL)","13660 HIGHWAY 65 NE
IN STORE","HAM LAKE","Minnesota","55304-6920","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Lol Liquors","8144 Farm-To-Market Rd 78 Suite 5","Converse","Texas","78109","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"970","London Smoke Shop","507 Minton Dr.","London","Kentucky","40741","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1313","Lorain Smokes & Beverage","2111 N Ridge Ridge Rd E","Lorain","Ohio","44055","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1724","LOS ALAMOS WINE & SPIRITS","39429 LOS ALAMOS RD STE A
IN STORE","MURRIETA","California","92563-5037","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1252","Los Dos Barbones","13700 Cantarra Dr","Pflugerville","Texas","78660","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"626","Lucas Harling","32053 E RED ARROW HWY","PAW PAW","Michigan","49079-8610","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Lucky Stop","Attn: BK
8414 E Kellogg Dr.","Whichita","Kansas","67207","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1227","Lunas Smoke Shop","4075 Pine ridge road #8","Naples","Florida","34119","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1400","Luv Wholesale & Distro","3035 E Patrick Ln. Suite 15","Las Vegas","Nevada","89120","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"576","LV Cash n Carry Attn Parth","2710 e Patrick Lane suite#5 and 6","las vegas","Nevada","89120","Distributor","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1756","MAC'S ON 2ND","5340 E 2ND ST
IN STORE","LONG BEACH","California","90803-5332","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1640","Mad Hatters Tea & Gifts","5846 Stage Rd","Bartlett","Tennessee","38134","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"707","magic vapes","4056 fishcreek rd","stow","Ohio","44224","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Mahant 342 Inc","251 5th Ave Street Level","New York","New York","10016","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"572","Main On Mill","33 w Southern ave","tempe","Arizona","85282","Wholesale","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"1111","Maine Northern Lights","ATTN: Dostie
421 Water St","Gardiner","Maine","4345","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
"","Maine Smoke Shop","498 Stillwater Ave","Old Town","Maine","4468","Retail","Unassigned","Add this Account Number to Copper ""Account Order ID cf_698467"" field"
